table	index	run_accession	Renamed
B73v4all	M37W	SRR5910691	Kern
B73v4all	M37W	SRR5910670	Base
B73v4all	M37W	SRR5910871	Mid
B73v4all	M37W	SRR5910673	Tip
B73v4all	M37W	SRR5911046	Day
B73v4all	M37W	SRR5911045	Night
B73v4all	MS71	SRR5911335	Root
B73v4all	Ms71	SRR5911336	Shoot
B73v4all	MS71	SRR5911221	Kern
B73v4all	MS71	SRR5911530	Kern
B73v4all	Ms71	SRR5911334	Base
B73v4all	Ms71	SRR5911531	Tip
B73v4all	MS71	SRR5911330	Day
B73v4all	MS71	SRR5911337	Night
B73v4all	NC350	SRR5910876	Root
B73v4all	NC350	SRR5910875	Shoot
B73v4all	NC350	SRR5910874	Base
B73v4all	NC350	SRR5910873	Tip
B73v4all	NC350	SRR5910877	Day
B73v4all	NC350	SRR5910878	Night
B73v4all	NC358	SRR5910711	Root
B73v4all	NC358	SRR5910710	Shoot
B73v4all	NC358	SRR5910714	Kern
B73v4all	NC358	SRR5910713	Base
B73v4all	NC358	SRR5910712	Tip
B73v4all	NC358	SRR5910738	Day
B73v4all	NC358	SRR5910737	Night
B73v4all	Oh43	SRR5911226	Root
B73v4all	Oh43	SRR5911213	Shoot
B73v4all	Oh43	SRR5911550	Kern
B73v4all	Oh43	SRR5911551	Tip
B73v4all	Oh43	SRR5911219	Day
B73v4all	Oh43	SRR5911220	Night
B73v4all	Oh7B	SRR5910798	Root
B73v4all	Oh7B	SRR5910669	Shoot
B73v4all	Oh7B	SRR5910795	Kern
B73v4all	Oh7B	SRR5910797	Base
B73v4all	Oh7B	SRR5910796	Tip
B73v4all	Oh7B	SRR5910663	Day
B73v4all	Oh7B	SRR5910668	Night
B73v4all	P39	SRR5911599	Kern
B73v4all	P39	SRR5911601	Base
B73v4all	P39	SRR5911600	Tip
B73v4all	P39	SRR5911004	Day
B73v4all	P39	SRR5911602	Night
B73v4all	Tx303	SRR5911175	Root
B73v4all	Tx303	SRR5911174	Base
B73v4all	Tx303	SRR5911167	Tip
B73v4all	Tx303	SRR5911173	Day
B73v4all	Tx303	SRR5911172	Night
B73v4all	W22	SRR5911200	Root
B73v4all	W22	SRR5911197	Shoot
B73v4all	W22	SRR5911553	Kern
B73v4all	W22	SRR5911199	Base
B73v4all	W22	SRR5911202	Mid
B73v4all	W22	SRR5911201	Tip
B73v4all	W22	SRR5911198	Night
B97	B97	SRR5911450	Root
B97	B97	SRR5911453	Shoot
B97	B97	SRR5911451	Base
B97	B97	SRR5911454	Tip
B97	B97	SRR5911452	Night
CML103	CML103	SRR5911415	Root
CML103	CML103	SRR5911414	Shoot
CML103	CML103	SRR5911410	Kern
CML103	CML103	SRR5911413	Base
CML103	CML103	SRR5911412	Tip
CML103	CML103	SRR5911327	Day
CML103	CML103	SRR5911326	Night
CML228	CML228	SRR5912050	Root
CML228	CML228	SRR5912045	Shoot
CML228	CML228	SRR5911626	Kern
CML228	CML228	SRR5911627	Kern
CML228	CML228	SRR5912051	Base
CML228	CML228	SRR5911625	Mid
CML228	CML228	SRR5911624	Tip
CML228	CML228	SRR5912043	Day
CML228	CML228	SRR5912044	Night
CML247	CML247	SRR5911762	Root
CML247	CML247	SRR5912118	Shoot
CML247	CML247	SRR5911763	Base
CML247	CML247	SRR5911760	Tip
CML277	CML277	SRR5911958	Root
CML277	CML277	SRR5911957	Shoot
CML277	CML277	SRR5911959	Base
CML277	CML277	SRR5911960	Mid
CML277	CML277	SRR5911961	Tip
CML277	CML277	SRR5911822	Day
CML277	CML277	SRR5911956	Night
CML322	CML322	SRR5911671	Shoot
CML322	CML322	SRR5912062	Kern
CML322	CML322	SRR5911665	Base
CML322	CML322	SRR5912063	Tip
CML322	CML322	SRR5911670	Day
CML322	CML322	SRR5911664	Night
CML333	CML333	SRR5911640	Root
CML333	CML333	SRR5911782	Shoot
CML333	CML333	SRR5911643	Kern
CML333	CML333	SRR5911641	Base
CML333	CML333	SRR5911642	Tip
CML333	CML333	SRR5911774	Day
CML333	CML333	SRR5911783	Night
CML52	CML52	SRR5911880	Shoot
CML69	CML69	SRR5911719	Root
CML69	CML69	SRR5911720	Shoot
CML69	CML69	SRR5911722	Kern
CML69	CML69	SRR5911717	Base
CML69	CML69	SRR5911724	Mid
CML69	CML69	SRR5911723	Tip
